,id,name,album,artists,year
0,4uxJICczweCIPZkIA6AN5k,Sick Thoughts,Sick Thoughts,['Lewis Blissett'],2019-05-14
1,1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,MUDBOY,['Sheck Wes'],2018-10-05
2,3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),['Lil Nas X'],2021-03-26
3,3EikYy40GMSp8l5mDV6IQo,Foot Fungus,STOKELEY,['Ski Mask The Slump God'],2018-11-30
4,24HKaFw0tAfvGiq03KRNje,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],['Young Fanatic'],2021-03-03
5,0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,Rasputin,"['Majestic', 'Boney M.']",2021-02-26
6,3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Astronaut In The Ocean,['Masked Wolf'],2021-01-06
7,5vGLcdRuSbUhD8ScwsGSdA,Whoopty,Whoopty,['CJ'],2020-08-20
8,60ynsPSSKe6O3sfwRnIBRf,Streets,Hot Pink,['Doja Cat'],2019-11-07
9,5uEYRdEIh9Bo4fpjDd4Na9,Goosebumps - Remix,Goosebumps (Remix),"['Travis Scott', 'HVME']",2021-01-15
10,3rchFjeKZ0bJxO7EEdM3S5,Paparazzi,Paparazzi,['Kim Dracula'],2020-12-11
11,7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer,hot girl bummer,['blackbear'],2019-08-23
12,04f7fQILKDgLE8aHbF73VO,Runnin Low,Runnin Low,['Kieran Alleyne'],2014-10-20
13,4KrhaZm4JRkNO4HRdLvJIG,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),['kostromin'],2021-02-02
14,6A25J9As7towpxovYryAWr,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),['JVLA'],2020-06-03
15,5XH02x5CtyL9hBUhXnRHSl,Such a Whore (Instrumental),Such a Whore (Instrumental),['JVLA'],2020-06-20
16,4wns4XvrgIzbJpuqI3XDMm,Minimum - Umut Dogan Remix,Minimum (Umut Dogan Remix),"['Ямаджи', 'Фейджи', 'Umut Dogan']",2021-05-13
17,7ynfTMcTrx1qAxDGZpErCZ,Минимум - The Sumo Remix,Минимум (Remix Pack),"['Ямаджи', 'Фейджи']",2020-11-20
18,2T2t1nP72WixJKmLJgoWNY,Superlife,Superlife,"['Lox Chatterbox', '2Scratch']",2018-12-10
19,792HwhrdO3ErRKL5yRe4Ge,Invincible,Meet The Woo 2,['Pop Smoke'],2020-02-07
20,4DPOGe8bDiqWMDNmtu1k6K,How She Walk,How She Walk,['TheGrimLynn'],2016-06-01
21,0S18dYlmsel6hdF45rn8t9,Arabian Night,Arabian Night,['Żwirek'],2018-08-05
22,2HCYh0kf5Xqqijv6h4bh3H,Monster,Monster,['Besomorph'],2019-08-30
23,0BRbI3ZMPXuj9yA7ChDGOW,PHONKY TOWN,PHONKY TOWN,['PlayaPhonk'],2021-03-16
24,0Cp85ha3RN0FDytbku8nzq,Goodbye (feat. Lyse) - Slow Version,Goodbye (feat. Lyse) [Slow Version],['Feder'],2020-10-02
25,0AUyNF6iFxMNQsNx2nhtrw,Blood // Water,Blood // Water,['grandson'],2018-05-04
26,0BV0AYGLVlu2SdjN3J9twp,Fed Up,ANTI-ICON,['Ghostemane'],2020-10-21
27,0kEZlJh4mK1QRfb3CT5LPk,Kill Yourself (Part III),My Liver Will Handle What My Heart Can't,['$uicideboy$'],2015-09-21
28,3kpYJjvM8Ja6btr5hEJLWc,Venom - Music From The Motion Picture,Venom (Music From The Motion Picture),['Eminem'],2018-09-21
29,7MyNaeme4s4l9MfBjRHRe6,The Electro Suite,The Amazing Spider-Man 2 (The Original Motion Picture Soundtrack) [Deluxe],['Various Artists'],2014-04-11
30,3Zz7uGMLSSTDLK9SMnB2Hh,Standard,Standard,"['Linius', 'Kordas']",2019-03-05
31,7floNISpH8VF4z4459Qo18,Look At Me!,Look At Me!,['XXXTENTACION'],2017-02-20
