,id,name,album,artists,year
0,4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),['Kina'],2018-10-08
1,5kr6C9ybSOiYFZHh1V53dg,MAN I USED TO BE,MAN I USED TO BE,['Ben Provencial'],2021-11-12
2,3WM7HwJAxhlI87PAzuuvyB,Hate My Guts,Hate My Guts,['Sofia Karlberg'],2021-11-19
3,3LAtFBMrvNMgn6QVDoh6zl,bleed,a guide to moving on,['Alexa Valentino'],2021-11-12
4,6ZKUs1QB51uY4Lxj1mVkRk,regret this in the morning,regret this in the morning,['august brodie'],2021-11-26
5,6189Ucnej4YRxl14d14WBc,Don't Look At Me,Don't Look At Me,['yoono'],2021-11-26
6,49TKKJdsUnL1UDTIvjN0B5,Listen,Listen,['Raff Woods'],2021-11-05
7,03GZtfD15W58mqyIXuZqO1,Keep You Close,Keep You Close,['ORYL'],2021-11-26
8,1MEaU9cr38TCfVWcbWt5AM,Selfish,Selfish,['Lakshane'],2021-11-19
9,3T0Ctj9MRGUTdAmZiSD5c3,Look at Him Go,Look at Him Go,['Lynn'],2021-11-01
10,7rFU4D9KkQMtwYw10nqXBC,Perkys,Perkys,['Lovedele'],2021-06-12
11,53rCuDGlZyMfSNEYmUx7gg,Creep,Creep,['ORYL'],2021-09-24
12,0y9dbYVGfU7osJVgbJOJel,Goodbye,Goodbye,['Andon'],2021-11-19
13,6gU1zMfJ3v3LqzOS3i3f71,L.A.,ARC 003,['Verskotzi'],2021-11-05
14,5xQ3A4AdxChEAVH85Qh3V5,High - Slowed + Reverb,High,['ORYL'],2021-08-27
15,49gXK8uoqUEHgzzHdkELMh,Loosing Interest,Passion & Confusion,['Timmies'],2017-09-21
16,7qEHsqek33rTcFNT9PFqLf,Someone You Loved,Divinely Uninspired To A Hellish Extent,['Lewis Capaldi'],2019-05-17
17,5DqdesEfbRyOlSS3Tf6c29,It's You,YOU,['Ali Gatie'],2019-11-08
18,4xqrdfXkTW4T0RauPLv3WA,Heather,Kid Krow,['Conan Gray'],2020-03-20
