,id,name,album,artists,year
0,6i0V12jOa3mr6uu4WYhUBr,Heathens,Heathens,['Twenty One Pilots'],2016-06-16
1,5cF0dROlMOK5uNZtivgu50,Attention,Voicenotes,['Charlie Puth'],2018-05-11
2,7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Illuminate (Deluxe),['Shawn Mendes'],2017-04-20
3,0pqnGHJpmpxLKifKRmU6WP,Believer,Evolve,['Imagine Dragons'],2017-06-23
4,0afhq8XCExXpqazXczTSve,Galway Girl,÷ (Deluxe),['Ed Sheeran'],2017-03-03
5,698ItKASDavgwZ3WjaWjtz,Faded,Different World,['Alan Walker'],2018-12-14
6,72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),['Clean Bandit'],2018-11-30
7,37f4ITSlgPX81ad2EvmVQr,Fight Song,Wildfire,['Rachel Platten'],2016-01-01
8,2hrUO4drrO63i7FYbCLBl2,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),['Clean Bandit'],2018-11-30
9,7qiZfU4dY1lWllzX7mPBI3,Shape of You,÷ (Deluxe),['Ed Sheeran'],2017-03-03
10,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,Memories...Do Not Open,['The Chainsmokers'],2017-04-07
11,48DKpTEVJ2pAjxQbWTad3q,Treat You Better,Illuminate (Deluxe),['Shawn Mendes'],2017-04-20
12,1zB4vmk8tFRmM9UULNzbLB,Thunder,Evolve,['Imagine Dragons'],2017-06-23
13,1rfofaqEpACxVEHIZBJe6W,Havana (feat. Young Thug),Camila,['Camila Cabello'],2018-01-12
14,0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,Encore,['DJ Snake'],2016-08-05
15,7jEyX4bqaCSdMN4D4JNnVj,Mama,Blue,['Jonas Blue'],2018-11-09
16,3LlmKSHR3Rs0Y3KHQLAYDk,Alone,Different World,['Alan Walker'],2018-12-14
17,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,24K Magic,['Bruno Mars'],2016-11-17
18,23L5CiUhw2jV1OIMwthR3S,In the Name of Love,In the Name of Love,"['Martin Garrix', 'Bebe Rexha']",2016-07-29
19,0tBbt8CrmxbjRP0pueQkyU,Wolves,Wolves,"['Selena Gomez', 'Marshmello']",2017-10-25
20,0AS63m1wHv9n4VVRizK6Hc,Mercy,Illuminate (Deluxe),['Shawn Mendes'],2017-04-20
21,6wmAHw1szh5RCKSRjiXhPe,How Long,Voicenotes,['Charlie Puth'],2018-05-11
22,72jbDTw1piOOj770jWNeaG,Paris,Memories...Do Not Open,['The Chainsmokers'],2017-04-07
23,5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Funk Wav Bounces Vol.1,"['Calvin Harris', 'Funk Wav']",2017-06-30
24,0tgVpDi06FyKpA1z0VMD4v,Perfect,÷ (Deluxe),['Ed Sheeran'],2017-03-03
25,6b8Be6ljOzmkOmFslEb23P,24K Magic,24K Magic,['Bruno Mars'],2016-11-17
26,7iNIg7XDEaYECfWD5dJ9Va,Friends (with BloodPop®),Friends (with BloodPop®),"['Justin Bieber', 'BloodPop®']",2017-08-17
27,1P17dC1amhFzptugyAO7Il,Look What You Made Me Do,reputation,['Taylor Swift'],2017-11-10
28,7gvd8xj4QgPqbQSsn5pV7d,Sorry Not Sorry,Tell Me You Love Me (Deluxe),['Demi Lovato'],2017-09-29
29,7MXVkk9YMctZqd1Srtv4MB,Starboy,Starboy,['The Weeknd'],2016-11-25
30,3P3pw6C19j31Rnzgo3JG7o,Perfect Strangers,Blue,['Jonas Blue'],2018-11-09
31,7vu0JkJh0ldukEYbTVcqd0,Issues,Nervous System,['Julia Michaels'],2017-07-28
32,1vvNmPOiUuyCbgWmtc6yfm,My Way,My Way,['Calvin Harris'],2016-09-16
33,2Z8WuEywRWYTKe1NybPQEW,Ride,Blurryface,['Twenty One Pilots'],2015-05-15
34,6h5PAsRni4IRlxWr6uDPTP,More Than You Know,More Than You Know,"['Axwell /\\ Ingrosso', 'Axwell', 'Sebastian Ingrosso']",2017-07-28
