,id,name,album,artists,year
0,46IZ0fSY2mpAiktS3KOqds,Easy On Me,30,['Adele'],2021-11-19
1,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),F*CK LOVE 3: OVER YOU,['The Kid LAROI'],2021-07-23
2,4fouWK6XVHhzl78KzQ1UjL,abcdefu,abcdefu,['GAYLE'],2021-08-13
3,5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),MONTERO,['Lil Nas X'],2021-09-17
4,7rglLriMNBPAyuJOMGwi39,Cold Heart - PNAU Remix,The Lockdown Sessions,['Elton John'],2021-10-22
5,1r9xUipOqoNwggBpENDsvJ,Enemy (with JID) - from the series Arcane League of Legends,Enemy (with JID) [from the series Arcane League of Legends],"['Imagine Dragons', 'JID', 'Arcane']",2021-10-28
6,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Dreamland (+ Bonus Levels),['Glass Animals'],2020-08-06
7,5enxwA8aAbwZbf5qCHORXi,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Red (Taylor's Version),['Taylor Swift'],2021-11-12
8,50nfwKoDiSYg8zOCREWAm5,Shivers,=,['Ed Sheeran'],2021-10-29
9,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Merry Christmas,['Mariah Carey'],1994-11-01
10,3Kkjo3cT83cw09VJyrLNwX,Oh My God,30,['Adele'],2021-11-19
11,2B4GHvToeLTOBB4QLzW3Ni,Pepas,La 167,['Farruko'],2021-10-01
12,3rmo8F54jFF8OgYsqTxm5d,Bad Habits,=,['Ed Sheeran'],2021-10-29
13,20on25jryn53hWghthWWW3,Do It To It,Do It To It,['ACRAZE'],2021-08-20
14,46HNZY1i7O6jwTA7Slo2PI,My Universe,Music Of The Spheres,['Coldplay'],2021-10-15
15,6Uj1ctrBOjOas8xZXGqKk4,Woman,Planet Her,['Doja Cat'],2021-06-25
16,7sMBvZCSUl99bJLXZaLa0b,Smokin Out The Window,An Evening With Silk Sonic,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",2021-11-11
17,2FRnf9qhLbvw8fu4IBXx78,Last Christmas,LAST CHRISTMAS,['Wham!'],1984-11-29
18,7hU3IHwjX150XLoTVmjD0q,MONEY,LALISA,['LISA'],2021-09-10
19,00Blm7zeNqgYLPtW6zg8cj,One Right Now (with The Weeknd),One Right Now,"['Post Malone', 'The Weeknd']",2021-11-05
20,2Xr1dTzJee307rmrkt8c0g,love nwantiti (ah ah ah),CKay The First,['CKay'],2019-08-30
21,4ZtFanR9U6ndgddUvNcjcG,good 4 u,SOUR,['Olivia Rodrigo'],2021-05-21
22,2gQPv5jvVPqU2a9HhMNO1v,Toxic,Toxic,['BoyWithUke'],2021-10-29
23,3Vi5XqYrmQgOYBajMWSvCi,Need to Know,Planet Her,['Doja Cat'],2021-06-25
